step,loss,learning_rate,epoch
20,,,0.3018867924528302
40,,,0.6037735849056604
50,5.0825,8.08080808080808e-06,0.7547169811320755
60,,,0.9056603773584906
80,,,1.1962264150943396
100,3.7864,1.616161616161616e-05,1.4981132075471697
100,,,1.4981132075471697
120,,,1.8
140,,,2.090566037735849
150,2.4526,2.4242424242424244e-05,2.241509433962264
160,,,2.392452830188679
180,,,2.6943396226415093
200,2.1263,3.232323232323232e-05,2.9962264150943394
200,,,2.9962264150943394
220,,,3.2867924528301886
240,,,3.5886792452830187
250,1.9972,4.040404040404041e-05,3.739622641509434
260,,,3.890566037735849
280,,,4.181132075471698
300,1.9148,4.848484848484849e-05,4.483018867924528
300,,,4.483018867924528
320,,,4.784905660377358
340,,,5.0754716981132075
350,1.8473,5.656565656565657e-05,5.226415094339623
360,,,5.377358490566038
380,,,5.679245283018868
400,1.7945,6.464646464646465e-05,5.981132075471698
400,,,5.981132075471698
420,,,6.271698113207547
440,,,6.573584905660377
450,1.7362,7.272727272727273e-05,6.724528301886792
460,,,6.875471698113207
480,,,7.166037735849057
500,1.7,7.999776224367661e-05,7.467924528301887
500,,,7.467924528301887
520,,,7.769811320754717
540,,,8.060377358490566
550,1.6596,7.972953430967773e-05,8.211320754716981
560,,,8.362264150943396
580,,,8.664150943396226
600,1.6244,7.90171914754163e-05,8.966037735849056
600,,,8.966037735849056
620,,,9.256603773584906
640,,,9.558490566037737
650,1.5693,7.786869663480203e-05,9.709433962264152
660,,,9.860377358490567
680,,,10.150943396226415
700,1.5363,7.629688818829578e-05,10.452830188679245
700,,,10.452830188679245
720,,,10.754716981132075
740,,,11.045283018867925
750,1.5035,7.431933652939909e-05,11.19622641509434
760,,,11.347169811320756
780,,,11.649056603773586
800,1.4687,7.195814763476165e-05,11.950943396226416
800,,,11.950943396226416
820,,,12.241509433962264
840,,,12.543396226415094
850,1.4142,6.923971595346687e-05,12.69433962264151
860,,,12.845283018867924
880,,,13.135849056603774
900,1.3839,6.619442935781141e-05,13.437735849056605
900,,,13.437735849056605
920,,,13.739622641509435
940,,,14.030188679245283
950,1.3477,6.28563294537743e-05,14.181132075471698
960,,,14.332075471698113
980,,,14.633962264150943
1000,1.3164,5.926273104838026e-05,14.935849056603773
1000,,,14.935849056603773
1020,,,15.226415094339623
1040,,,15.528301886792454
1050,1.267,5.5453805027725145e-05,15.679245283018869
1060,,,15.830188679245284
1080,,,16.120754716981132
1100,1.2381,5.1472129308443616e-05,16.422641509433962
1100,,,16.422641509433962
1120,,,16.724528301886792
1140,,,17.015094339622642
1150,1.2224,4.7362212882288815e-05,17.166037735849056
1160,,,17.316981132075473
1180,,,17.618867924528303
1200,1.1771,4.316999827427154e-05,17.920754716981133
1200,,,17.920754716981133
1220,,,18.211320754716983
1240,,,18.513207547169813
1250,1.136,3.894234797610907e-05,18.664150943396226
1260,,,18.815094339622643
1280,,,19.10566037735849
1300,1.1167,3.472652059586559e-05,19.40754716981132
1300,,,19.40754716981132
1320,,,19.70943396226415
1340,,,20.0
1350,1.0968,3.0569642579622905e-05,20.150943396226417
1360,,,20.30188679245283
1380,,,20.60377358490566
1400,1.0632,2.651818141051833e-05,20.90566037735849
1400,,,20.90566037735849
1420,,,21.19622641509434
1440,,,21.49811320754717
1450,1.036,2.261742617397153e-05,21.649056603773584
1460,,,21.8
1480,,,22.09056603773585
1500,1.0169,1.8910981295579903e-05,22.39245283018868
1500,,,22.39245283018868
1520,,,22.69433962264151
1540,,,22.99622641509434
1550,1.0042,1.5440279110911932e-05,23.135849056603774
1560,,,23.286792452830188
1580,,,23.588679245283018
1600,0.9861,1.2244116715915638e-05,23.890566037735848
1600,,,23.890566037735848
1620,,,24.181132075471698
1640,,,24.483018867924528
1650,0.9658,9.358222275240884e-06,24.633962264150945
1660,,,24.78490566037736
1680,,,25.07547169811321
1700,0.9639,6.8148556364785586e-06,25.37735849056604
1700,,,25.37735849056604
1720,,,25.67924528301887
1740,,,25.9811320754717
1750,0.9515,4.642447714833993e-06,26.120754716981132
1760,,,26.27169811320755
1780,,,26.57358490566038
1800,0.9453,2.8652826793570975e-06,26.87547169811321
1800,,,26.87547169811321
1820,,,27.166037735849056
1840,,,27.467924528301886
1850,0.9376,1.5032264933971807e-06,27.618867924528303
1860,,,27.769811320754716
1880,,,28.060377358490566
1900,0.94,5.71504843781181e-07,28.362264150943396
1900,,,28.362264150943396
1920,,,28.664150943396226
1940,,,28.966037735849056
1950,0.935,8.053294112462696e-08,29.10566037735849
1960,,,29.256603773584906
1980,,,29.558490566037737
1980,,,29.558490566037737
