step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.585,0.6074999999999998,0.5939999999999999,,,0.300187617260788
40,0.5920000000000001,0.6074999999999998,0.5982,,,0.600375234521576
50,,,,39.5907,8.08080808080808e-06,0.7504690431519699
60,0.7,0.6149999999999998,0.6659999999999999,,,0.900562851782364
80,0.5265435824798431,0.6927505512126677,0.593026369972973,,,1.2101313320825515
100,,,,26.0447,1.616161616161616e-05,1.5103189493433395
100,0.56,0.7449999999999999,0.634,,,1.5103189493433395
120,0.565,0.6899999999999998,0.615,,,1.8105065666041276
140,0.595,0.6874999999999999,0.6319999999999999,,,2.120075046904315
150,,,,18.4342,2.4242424242424244e-05,2.2701688555347093
160,0.655,0.6924999999999999,0.6699999999999999,,,2.420262664165103
180,0.54,0.6899999999999998,0.6,,,2.720450281425891
200,,,,16.5561,3.232323232323232e-05,3.0300187617260788
200,0.54,0.6924999999999999,0.601,,,3.0300187617260788
220,0.6,0.6849999999999998,0.6339999999999999,,,3.3302063789868668
240,0.685,0.6649999999999998,0.677,,,3.630393996247655
250,,,,15.5893,4.040404040404041e-05,3.7804878048780486
260,0.66,0.6799999999999998,0.6679999999999999,,,3.930581613508443
280,0.65,0.6799999999999998,0.6619999999999999,,,4.24015009380863
300,,,,15.0119,4.848484848484849e-05,4.5403377110694185
300,0.725,0.6624999999999999,0.7,,,4.5403377110694185
320,0.775,0.6849999999999998,0.7389999999999999,,,4.840525328330206
340,0.735,0.6724999999999999,0.71,,,5.150093808630394
350,,,,14.6969,5.656565656565657e-05,5.300187617260788
360,0.7,0.6724999999999999,0.689,,,5.450281425891182
380,0.795,0.6849999999999998,0.7509999999999999,,,5.75046904315197
400,,,,14.2662,6.464646464646465e-05,6.0600375234521575
400,0.66,0.6824999999999999,0.669,,,6.0600375234521575
420,0.745,0.6799999999999998,0.719,,,6.360225140712946
440,0.725,0.6924999999999999,0.712,,,6.6604127579737336
450,,,,13.9485,7.272727272727273e-05,6.810506566604127
460,0.755,0.6824999999999999,0.726,,,6.960600375234522
480,0.755,0.6824999999999999,0.726,,,7.270168855534709
500,,,,13.5633,7.999776224367661e-05,7.570356472795497
500,0.7281682085786375,0.6857866582756449,0.7112155884574405,,,7.570356472795497
520,0.745,0.6599999999999998,0.711,,,7.870544090056285
540,0.78,0.6824999999999999,0.7409999999999999,,,8.180112570356473
550,,,,13.3878,7.972953430967773e-05,8.330206378986867
560,0.785,0.6849999999999998,0.7449999999999999,,,8.48030018761726
580,0.835,0.6749999999999998,0.7709999999999999,,,8.78048780487805
600,,,,13.0715,7.90171914754163e-05,9.090056285178237
600,0.775,0.6849999999999998,0.7389999999999999,,,9.090056285178237
620,0.8092,0.685892857142857,0.7598771428571428,,,9.390243902439025
640,0.825,0.6924999999999999,0.7719999999999999,,,9.690431519699812
650,,,,12.6522,7.786869663480203e-05,9.840525328330207
660,0.78,0.6774999999999999,0.7389999999999999,,,9.9906191369606
680,0.85,0.6899999999999998,0.786,,,10.300187617260788
700,,,,12.3684,7.629688818829578e-05,10.600375234521575
700,0.87,0.6799999999999998,0.794,,,10.600375234521575
720,0.815,0.6699999999999998,0.7569999999999999,,,10.900562851782365
740,0.83,0.6949999999999998,0.7759999999999999,,,11.210131332082552
750,,,,12.0003,7.431933652939909e-05,11.360225140712945
760,0.82,0.6824999999999999,0.7649999999999999,,,11.51031894934334
780,0.805,0.6649999999999998,0.7489999999999999,,,11.810506566604127
800,,,,11.9086,7.195814763476165e-05,12.120075046904315
800,0.799136147038802,0.6756688068485821,0.749749210962714,,,12.120075046904315
820,0.7891432664756447,0.6681959910913139,0.7407643563219124,,,12.420262664165103
840,0.8,0.6749999999999998,0.75,,,12.720450281425892
850,,,,11.4546,6.923971595346687e-05,12.870544090056285
860,0.875,0.6774999999999999,0.796,,,13.03001876172608
880,0.845,0.6774999999999999,0.778,,,13.330206378986867
900,,,,11.1139,6.619442935781141e-05,13.630393996247655
900,0.825,0.6799999999999998,0.7669999999999999,,,13.630393996247655
920,0.8191779359430604,0.6783202099737531,0.7628348455553375,,,13.930581613508442
940,0.849172972972973,0.6758032128514054,0.779825068924346,,,14.24015009380863
950,,,,10.9158,6.28563294537743e-05,14.390243902439025
960,0.8041327800829876,0.683155737704918,0.7557419631317597,,,14.540337711069418
980,0.78,0.6849999999999998,0.742,,,14.840525328330207
1000,,,,10.6665,5.926273104838026e-05,15.150093808630395
1000,0.855,0.6724999999999999,0.782,,,15.150093808630395
1020,0.79,0.6624999999999999,0.7389999999999999,,,15.450281425891182
1040,0.8241682085786376,0.6682866582756449,0.7618155884574405,,,15.75046904315197
1050,,,,10.3222,5.5453805027725145e-05,15.900562851782365
1060,0.815,0.6749999999999998,0.7589999999999999,,,16.06003752345216
1080,0.789136147038802,0.678168806848582,0.7447492109627141,,,16.360225140712945
1100,,,,10.021,5.1472129308443616e-05,16.660412757973734
1100,0.825,0.6649999999999998,0.7609999999999999,,,16.660412757973734
1120,0.79,0.6624999999999999,0.7389999999999999,,,16.96060037523452
1140,0.7991176470588235,0.6755952380952379,0.7497086834733893,,,17.27016885553471
1150,,,,9.7598,4.7362212882288815e-05,17.420262664165104
1160,0.795,0.6649999999999998,0.7429999999999999,,,17.570356472795496
1180,0.7991396404259032,0.6731822213125938,0.7487566727805794,,,17.870544090056285
1200,,,,9.6394,4.316999827427154e-05,18.180112570356474
1200,0.775,0.6624999999999999,0.73,,,18.180112570356474
