step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.7,0.5666666666666664,0.6466666666666665,,,2.542372881355932
40,0.5166666666666667,0.6208333333333331,0.5583333333333332,,,5.0
50,,,,29.4009,7.547169811320755e-05,6.271186440677966
60,0.525,0.5666666666666664,0.5416666666666665,,,7.5423728813559325
80,0.55,0.5833333333333331,0.5633333333333332,,,10.0
100,,,,10.3561,6.357611716513103e-05,12.542372881355933
100,0.55,0.5833333333333331,0.5633333333333332,,,12.542372881355933
120,0.5666666666666667,0.5666666666666664,0.5666666666666665,,,15.0
140,0.5761385137712672,0.5638961020829841,0.5712415490959539,,,17.54237288135593
150,,,,7.7713,2.5528384204663388e-05,18.8135593220339
160,0.5761475023562677,0.5680926306182977,0.5729255536610797,,,20.0
180,0.5678141690229344,0.5680926306182977,0.5679255536610797,,,22.54237288135593
200,,,,6.6625,7.981432318121851e-07,25.0
200,0.5678141690229344,0.5680926306182977,0.5679255536610797,,,25.0
210,,,,,,26.271186440677965
