step,style_consistency,dialogue_flow,combined_score,loss,learning_rate,epoch
20,0.562,0.5799999999999997,0.5691999999999999,,,0.300187617260788
40,0.5670000000000001,0.5824999999999998,0.5731999999999999,,,0.600375234521576
50,,,,42.5264,8.08080808080808e-06,0.7504690431519699
60,0.634,0.5949999999999998,0.6184,,,0.900562851782364
80,0.502,0.6549999999999998,0.5631999999999999,,,1.2101313320825515
100,,,,27.6327,1.616161616161616e-05,1.5103189493433395
100,0.5459999999999999,0.7374999999999998,0.6225999999999998,,,1.5103189493433395
120,0.527,0.6749999999999998,0.5861999999999999,,,1.8105065666041276
140,0.6309999999999999,0.6674999999999999,0.6456,,,2.120075046904315
150,,,,20.1865,2.4242424242424244e-05,2.2701688555347093
160,0.687,0.6574999999999999,0.6752,,,2.420262664165103
180,0.596,0.6649999999999998,0.6235999999999999,,,2.720450281425891
200,,,,18.0643,3.232323232323232e-05,3.0300187617260788
200,0.6359999999999999,0.6649999999999998,0.6476,,,3.0300187617260788
220,0.659,0.6699999999999998,0.6634,,,3.3302063789868668
240,0.5820000000000001,0.6574999999999999,0.6122,,,3.630393996247655
250,,,,17.0286,4.040404040404041e-05,3.7804878048780486
260,0.564,0.6749999999999998,0.6083999999999999,,,3.930581613508443
280,0.581,0.6699999999999998,0.6165999999999999,,,4.24015009380863
300,,,,16.4929,4.848484848484849e-05,4.5403377110694185
300,0.544,0.6724999999999999,0.5953999999999999,,,4.5403377110694185
320,0.529,0.6574999999999999,0.5804,,,4.840525328330206
340,0.629,0.6724999999999999,0.6464,,,5.150093808630394
350,,,,16.0129,5.656565656565657e-05,5.300187617260788
360,0.529,0.6624999999999999,0.5824,,,5.450281425891182
380,0.564,0.6749999999999998,0.6083999999999999,,,5.75046904315197
400,,,,15.6778,6.464646464646465e-05,6.0600375234521575
400,0.7,0.6849999999999998,0.694,,,6.0600375234521575
420,0.711,0.6824999999999999,0.6996,,,6.360225140712946
440,0.6990000000000001,0.6974999999999999,0.6984,,,6.6604127579737336
450,,,,15.1574,7.272727272727273e-05,6.810506566604127
460,0.584,0.6574999999999999,0.6134,,,6.960600375234522
480,0.7490000000000001,0.6724999999999999,0.7184,,,7.270168855534709
500,,,,14.8304,7.999776224367661e-05,7.570356472795497
500,0.6890000000000001,0.6674999999999999,0.6804,,,7.570356472795497
520,0.691,0.6899999999999998,0.6905999999999999,,,7.870544090056285
540,0.6709999999999999,0.6799999999999998,0.6745999999999999,,,8.180112570356473
550,,,,14.571,7.972953430967773e-05,8.330206378986867
560,0.746,0.6799999999999998,0.7196,,,8.48030018761726
580,0.711,0.6799999999999998,0.6985999999999999,,,8.78048780487805
600,,,,14.2495,7.90171914754163e-05,9.090056285178237
600,0.6559999999999999,0.6749999999999998,0.6636,,,9.090056285178237
620,0.664,0.6849999999999998,0.6724,,,9.390243902439025
640,0.7809999999999999,0.6474999999999999,0.7275999999999998,,,9.690431519699812
650,,,,13.8074,7.786869663480203e-05,9.840525328330207
660,0.726,0.6824999999999999,0.7085999999999999,,,9.9906191369606
680,0.7440000000000001,0.6824999999999999,0.7194,,,10.300187617260788
700,,,,13.3978,7.629688818829578e-05,10.600375234521575
700,0.721,0.6699999999999998,0.7005999999999999,,,10.600375234521575
720,0.754,0.6674999999999999,0.7193999999999999,,,10.900562851782365
740,0.7140000000000001,0.6724999999999999,0.6974,,,11.210131332082552
750,,,,13.1556,7.431933652939909e-05,11.360225140712945
760,0.6990000000000001,0.6649999999999998,0.6854,,,11.51031894934334
780,0.7609999999999999,0.6774999999999999,0.7275999999999998,,,11.810506566604127
800,,,,12.9408,7.195814763476165e-05,12.120075046904315
800,0.777,0.6724999999999999,0.7352,,,12.120075046904315
820,0.7509999999999999,0.6724999999999999,0.7195999999999998,,,12.420262664165103
840,0.7759999999999999,0.6674999999999999,0.7325999999999999,,,12.720450281425892
850,,,,12.4856,6.923971595346687e-05,12.870544090056285
860,0.753,0.6774999999999999,0.7227999999999999,,,13.03001876172608
880,0.772,0.6799999999999998,0.7352,,,13.330206378986867
900,,,,12.1405,6.619442935781141e-05,13.630393996247655
900,0.728,0.6824999999999999,0.7098,,,13.630393996247655
920,0.7659999999999999,0.6874999999999999,0.7345999999999999,,,13.930581613508442
940,0.7959999999999999,0.6749999999999998,0.7475999999999998,,,14.24015009380863
950,,,,11.8473,6.28563294537743e-05,14.390243902439025
960,0.759,0.6799999999999998,0.7273999999999999,,,14.540337711069418
980,0.7290000000000001,0.6724999999999999,0.7064,,,14.840525328330207
1000,,,,11.6474,5.926273104838026e-05,15.150093808630395
1000,0.732,0.6674999999999999,0.7061999999999999,,,15.150093808630395
1020,0.774,0.6724999999999999,0.7333999999999999,,,15.450281425891182
1040,0.7340000000000001,0.6624999999999999,0.7054,,,15.75046904315197
1050,,,,11.2447,5.5453805027725145e-05,15.900562851782365
1060,0.772,0.6674999999999999,0.7302,,,16.06003752345216
1080,0.7340000000000001,0.6699999999999998,0.7084,,,16.360225140712945
1100,,,,10.9132,5.1472129308443616e-05,16.660412757973734
1100,0.7040000000000001,0.6749999999999998,0.6924,,,16.660412757973734
1120,0.757,0.6824999999999999,0.7272,,,16.96060037523452
1140,0.757,0.6624999999999999,0.7192,,,17.27016885553471
1150,,,,10.6301,4.7362212882288815e-05,17.420262664165104
1160,0.774,0.6774999999999999,0.7353999999999999,,,17.570356472795496
1180,0.672,0.6649999999999998,0.6692,,,17.870544090056285
1200,,,,10.4659,4.316999827427154e-05,18.180112570356474
1200,0.727,0.6674999999999999,0.7031999999999999,,,18.180112570356474
1220,0.722,0.6774999999999999,0.7041999999999999,,,18.48030018761726
1240,0.764,0.6624999999999999,0.7233999999999999,,,18.78048780487805
1250,,,,10.1248,3.894234797610907e-05,18.930581613508444
1260,0.7190000000000001,0.6649999999999998,0.6974,,,19.090056285178235
1280,0.7490000000000001,0.6824999999999999,0.7224,,,19.390243902439025
1300,,,,9.8498,3.472652059586559e-05,19.690431519699814
1300,0.7240000000000001,0.6574999999999999,0.6974,,,19.690431519699814
1320,0.735,0.6674999999999999,0.708,,,19.9906191369606
1340,0.7170000000000001,0.6599999999999998,0.6941999999999999,,,20.30018761726079
1350,,,,9.6038,3.0569642579622905e-05,20.45028142589118
1360,0.747,0.6574999999999999,0.7111999999999999,,,20.600375234521575
1380,0.7090000000000001,0.6699999999999998,0.6934,,,20.900562851782365
1400,,,,9.4908,2.651818141051833e-05,21.21013133208255
1400,0.732,0.6599999999999998,0.7031999999999999,,,21.21013133208255
1420,0.7240000000000001,0.6549999999999998,0.6964,,,21.51031894934334
1440,0.727,0.6724999999999999,0.7051999999999999,,,21.81050656660413
1450,,,,9.2412,2.261742617397153e-05,21.96060037523452
1460,0.727,0.6624999999999999,0.7011999999999999,,,22.120075046904315
1480,0.7040000000000001,0.6524999999999999,0.6834,,,22.420262664165104
1500,,,,8.9782,1.8910981295579903e-05,22.72045028142589
1500,0.6990000000000001,0.6649999999999998,0.6854,,,22.72045028142589
1520,0.735,0.6624999999999999,0.706,,,23.03001876172608
1540,0.742,0.6649999999999998,0.7111999999999999,,,23.330206378986865
